property_id,title,location,district,region,latitude,longitude,price,property_type,bedrooms,bathrooms,area_size,listing_type,year_built,furnished,dist_to_beach,property_type_encoded,listing_type_encoded,location_score,is_beachfront,is_tourist_area,dist_to_city
PROP1014,Luxurious 2 Bedroom House in Rose Hill,Rose Hill,Plaines Wilhems,Central,-20.244742808488304,57.4756852036065,345000,house,2,3,234,sale,2023.0,False,10.253532788519928,1,1,55,0,0,2.1490396442420274
PROP1015,Luxurious 4 Bedroom House in Mahebourg,Mahebourg,Grand Port,East,-20.411018186548176,57.69609626960318,365000,house,4,5,255,sale,1987.0,True,2.897003345523601,1,1,45,0,0,22.533109168439005
PROP1016,Luxurious 3 Bedroom Condo in Beau Bassin,Beau Bassin,Plaines Wilhems,Central,-20.22091083242672,57.45845026852362,205000,condo,3,3,115,rent,2023.0,True,9.46838934460772,3,0,55,0,0,5.283754027948959
PROP1017,Beautiful 5 Bedroom Condo in Trou d'Eau Douce,Trou d'Eau Douce,Flacq,East,-20.22012015357037,57.77934761030661,210000,condo,5,3,89,rent,2010.0,False,4.6231842546332045,3,0,65,0,0,31.05375399111501
PROP1018,712 sqm Land in Port Louis,Port Louis,Port Louis,North,-20.16594842265727,57.499299565219545,620000,land,0,0,712,rent,0.0,False,3.717644443984161,4,0,65,0,0,0.4515582918934192
PROP1019,Charming 3 Bedroom Condo in Quatre Bornes,Quatre Bornes,Plaines Wilhems,Central,-20.261373329512228,57.4838930133952,305000,condo,3,2,142,sale,2024.0,False,6.5275771393041335,3,1,60,0,0,0.5963263307290037
PROP1020,Modern 2 Bedroom Villa in Belle Mare,Belle Mare,Flacq,East,-20.19563544749158,57.77790139318205,1310000,villa,2,2,351,sale,1994.0,True,1.2977492528401684,2,1,75,0,1,31.19472436387907
PROP1021,Luxurious 1 Bedroom Apartment in Belle Mare,Belle Mare,Flacq,East,-20.18718963480313,57.7722563536897,295000,apartment,1,2,121,sale,2023.0,True,2.737386232263632,0,1,75,0,1,30.47213067357938
PROP1022,Beautiful 2 Bedroom Villa in Mahebourg,Mahebourg,Grand Port,East,-20.40376891219748,57.70780834170393,825000,villa,2,3,329,rent,1988.0,True,4.036359439220427,2,0,45,0,0,23.34405326789556
PROP1023,Beautiful 3 Bedroom House in Port Louis,Port Louis,Port Louis,North,-20.15214418134625,57.49422611629478,255000,house,3,1,114,sale,2019.0,True,4.51540742370589,1,1,65,0,0,1.200757277221808
PROP1024,440 sqm Land in Trou aux Biches,Trou aux Biches,Pamplemousses,North,-20.038758338186124,57.535639616549965,560000,land,0,0,440,sale,0.0,False,2.0697892149095782,4,1,85,0,1,14.264112559359631
PROP1025,Charming 5 Bedroom Villa in Vacoas,Vacoas,Plaines Wilhems,Central,-20.291104665006905,57.4809439421041,715000,villa,5,6,284,sale,2007.0,True,12.183883836957795,2,1,50,0,0,3.0377211098920673
PROP1026,590 sqm Land in Trou aux Biches,Trou aux Biches,Pamplemousses,North,-20.040779327290966,57.54797471427396,730000,land,0,0,590,rent,0.0,False,2.0159031112779053,4,0,85,0,1,14.506024685901904
PROP1027,Cozy 1 Bedroom House in Port Louis,Port Louis,Port Louis,North,-20.163406058068123,57.4993659737123,450000,house,1,2,247,sale,2024.0,False,2.2597459807126423,1,1,65,0,0,0.17499115341480942
PROP1028,Spacious 1 Bedroom House in Beau Bassin,Beau Bassin,Plaines Wilhems,Central,-20.21855294481319,57.46499815683895,305000,house,1,2,168,rent,2021.0,False,8.676697310226496,1,0,55,0,0,5.260695060174633
PROP1029,Beautiful 3 Bedroom Villa in Trou d'Eau Douce,Trou d'Eau Douce,Flacq,East,-20.22651052852761,57.78081934827393,930000,villa,3,4,330,sale,2007.0,True,1.7253422521605124,2,1,65,0,0,30.97199671482892
PROP1030,Elegant 1 Bedroom Villa in Trou d'Eau Douce,Trou d'Eau Douce,Flacq,East,-20.2220560611577,57.78397029306563,1125000,villa,1,2,382,sale,1999.0,False,4.6243081258263015,2,1,65,0,0,31.46413503528869
PROP1031,Spacious 4 Bedroom Apartment in Souillac,Souillac,Savanne,South,-20.5242962944272,57.51160689791126,105000,apartment,4,5,87,rent,2015.0,False,5.338259490381301,0,0,40,0,0,23.105336926687002
PROP1032,Cozy 4 Bedroom Condo in Flic en Flac,Flic en Flac,Black River,West,-20.277677987621548,57.36088570683423,430000,condo,4,4,150,sale,1994.0,False,1.4062615908202445,3,1,85,0,1,13.211899509708777
PROP1033,Beautiful 1 Bedroom Apartment in Tamarin,Tamarin,Black River,West,-20.318391078780145,57.37706989683749,320000,apartment,1,1,112,rent,2018.0,False,1.2817315609424207,0,0,80,0,0,12.844540834121855
PROP1034,Beautiful 1 Bedroom Villa in Curepipe,Curepipe,Plaines Wilhems,Central,-20.309626886597968,57.52081684337903,745000,villa,1,1,262,rent,2018.0,True,11.132826669036689,2,0,55,0,0,0.866849508427075
PROP1035,Charming 5 Bedroom House in Mahebourg,Mahebourg,Grand Port,East,-20.409608553280083,57.69799440709541,310000,house,5,1,194,rent,1986.0,True,4.3960841871450045,1,0,45,0,0,22.647560630356644
PROP1036,Modern 5 Bedroom Condo in Flic en Flac,Flic en Flac,Black River,West,-20.268266616730504,57.35769559612757,395000,condo,5,6,117,sale,2009.0,False,4.530763621013308,3,1,85,0,1,13.485006188277545
PROP1037,Modern 1 Bedroom Condo in Curepipe,Curepipe,Plaines Wilhems,Central,-20.32464944518364,57.52445461361154,355000,condo,1,2,184,sale,2014.0,True,5.152838211375696,3,1,55,0,0,1.280538254056366
PROP1038,Charming 2 Bedroom Condo in Mahebourg,Mahebourg,Grand Port,East,-20.398797410841244,57.70522540505237,365000,condo,2,1,188,rent,2001.0,True,1.2540377177106894,3,0,45,0,0,22.85680447063236
PROP1039,Elegant 1 Bedroom Condo in Port Louis,Port Louis,Port Louis,North,-20.17021002626982,57.49969601095646,395000,condo,1,2,162,sale,2017.0,True,4.818253370275406,3,1,65,0,0,0.9266350873783199
PROP1040,241 sqm Land in Mahebourg,Mahebourg,Grand Port,East,-20.40644660699513,57.70193218561986,140000,land,0,0,241,sale,0.0,False,1.9439073373883573,4,1,45,0,0,22.8812087047554
PROP1041,375 sqm Land in Grand Baie,Grand Baie,Rivière du Rempart,North,-20.01866016017144,57.59146025372895,435000,land,0,0,375,rent,0.0,False,1.9832507518221203,4,0,90,0,1,18.930317725729328
PROP1042,Modern 2 Bedroom Villa in Blue Bay,Blue Bay,Grand Port,East,-20.42983907749417,57.71025826249429,560000,villa,2,1,160,rent,1980.0,False,3.915570222720559,2,0,70,0,1,24.923730141696776
PROP1043,Luxurious 3 Bedroom Condo in Blue Bay,Blue Bay,Grand Port,East,-20.447150281720056,57.70869394999157,340000,condo,3,2,135,rent,1993.0,True,2.4995570204901867,3,0,70,0,1,25.805545348682948
PROP1044,925 sqm Land in Souillac,Souillac,Savanne,South,-20.51943864723249,57.51236158130284,460000,land,0,0,925,rent,0.0,False,9.101524880863307,4,0,40,0,0,22.56439493516932
PROP1045,230 sqm Land in Blue Bay,Blue Bay,Grand Port,East,-20.43191178552465,57.71478505928218,270000,land,0,0,230,sale,0.0,False,1.7666507954884154,4,1,70,0,1,25.473601593200105
PROP1046,479 sqm Land in Blue Bay,Blue Bay,Grand Port,East,-20.440851691887374,57.71376154623823,565000,land,0,0,479,rent,0.0,False,2.9213468077020703,4,0,70,0,1,25.891977063534313
PROP1047,Modern 1 Bedroom Villa in Curepipe,Curepipe,Plaines Wilhems,Central,-20.30676035023464,57.51992108926649,535000,villa,1,2,185,sale,2002.0,False,11.431212180022529,2,1,55,0,0,1.1107579911214167
PROP1048,Luxurious 2 Bedroom Villa in Grand Baie,Grand Baie,Rivière du Rempart,North,-20.023926852970227,57.58174609337247,995000,villa,2,1,251,rent,2010.0,True,4.071225558356977,2,0,90,0,1,17.863781642231512
PROP1049,Elegant 2 Bedroom House in Trou aux Biches,Trou aux Biches,Pamplemousses,North,-20.041026268566227,57.54764207103936,225000,house,2,2,103,rent,1983.0,True,3.648121098561733,1,0,85,0,1,14.466774589671912
PROP1050,Charming 5 Bedroom Villa in Trou d'Eau Douce,Trou d'Eau Douce,Flacq,East,-20.22984422573795,57.79683319721788,1155000,villa,5,1,312,rent,2013.0,True,2.2492854600212917,2,0,65,0,0,32.54931199708616
PROP1051,Luxurious 1 Bedroom House in Grand Baie,Grand Baie,Rivière du Rempart,North,-20.00974712551112,57.5742546323904,580000,house,1,2,216,rent,1989.0,True,2.824179075832005,1,0,90,0,1,18.846746790388774
PROP1052,Spacious 5 Bedroom Villa in Beau Bassin,Beau Bassin,Plaines Wilhems,Central,-20.21007593926689,57.45281075008017,1005000,villa,5,5,365,rent,1985.0,False,8.453386489160149,2,0,55,0,0,6.639061496292423
PROP1053,616 sqm Land in Beau Bassin,Beau Bassin,Plaines Wilhems,Central,-20.22334296492148,57.46585666016616,445000,land,0,0,616,sale,0.0,False,8.378691055856416,4,1,55,0,0,4.72520851193523
PROP1054,318 sqm Land in Grand Baie,Grand Baie,Rivière du Rempart,North,-20.01744993982101,57.57993532324765,435000,land,0,0,318,sale,0.0,False,4.111334927589616,4,1,90,0,1,18.38467754566687
PROP1055,Modern 4 Bedroom Villa in Tamarin,Tamarin,Black River,West,-20.327525973076856,57.36788269288401,590000,villa,4,4,155,sale,1981.0,False,4.09058126283869,2,1,80,0,0,14.228056485152937
PROP1056,Cozy 3 Bedroom Apartment in Blue Bay,Blue Bay,Grand Port,East,-20.44509016206602,57.71938691461831,245000,apartment,3,4,88,rent,2002.0,False,2.785922755090445,0,0,70,0,1,26.671248203602552
PROP1057,Modern 4 Bedroom Villa in Blue Bay,Blue Bay,Grand Port,East,-20.43084744530231,57.70827092637896,1540000,villa,4,2,392,rent,2018.0,True,4.421693235923238,2,0,70,0,1,24.79099474436594
PROP1058,Luxurious 1 Bedroom Condo in Trou d'Eau Douce,Trou d'Eau Douce,Flacq,East,-20.22080995795643,57.79276371808137,210000,condo,1,2,84,sale,1999.0,False,3.5382305045964366,3,1,65,0,0,32.431316475041605
PROP1059,Modern 5 Bedroom Apartment in Trou d'Eau Douce,Trou d'Eau Douce,Flacq,East,-20.22466548883817,57.7958067880309,175000,apartment,5,4,83,rent,2011.0,True,3.939489520358468,0,0,65,0,0,32.61492757466165
PROP1060,Modern 1 Bedroom Condo in Souillac,Souillac,Savanne,South,-20.52268243737419,57.529512244470325,220000,condo,1,1,138,rent,1988.0,False,6.259412005962388,3,0,40,0,0,22.96432078460805
PROP1061,Cozy 5 Bedroom House in Mahebourg,Mahebourg,Grand Port,East,-20.40058593671391,57.694054450851695,255000,house,5,1,191,sale,2019.0,True,4.511881792250591,1,1,45,0,0,21.81116627500413
PROP1062,Modern 4 Bedroom Villa in Beau Bassin,Beau Bassin,Plaines Wilhems,Central,-20.217753781201544,57.4526621153662,1045000,villa,4,1,365,rent,2024.0,False,5.036154694633548,2,0,55,0,0,5.8936881876808265
PROP1063,Luxurious 1 Bedroom Condo in Tamarin,Tamarin,Black River,West,-20.324876537208294,57.36956809178172,365000,condo,1,1,140,rent,2004.0,False,2.2023258700729964,3,0,80,0,0,13.92047203606021
PROP1064,Charming 5 Bedroom Condo in Beau Bassin,Beau Bassin,Plaines Wilhems,Central,-20.21248166337925,57.47127273339461,245000,condo,5,5,110,rent,2023.0,False,7.457959486268208,3,0,55,0,0,5.762212790108924
PROP1065,Spacious 5 Bedroom House in Mahebourg,Mahebourg,Grand Port,East,-20.40740250266088,57.70153901608092,345000,house,5,6,222,rent,1986.0,False,2.261368483602739,1,0,45,0,0,22.888710357611078
PROP1066,336 sqm Land in Souillac,Souillac,Savanne,South,-20.527886960192003,57.5276361887598,165000,land,0,0,336,sale,0.0,False,7.3986597331638,4,1,40,0,0,23.52916372087015
PROP1067,Cozy 2 Bedroom Villa in Curepipe,Curepipe,Plaines Wilhems,Central,-20.32140514774132,57.52226115269297,630000,villa,2,3,236,sale,1996.0,True,7.925703686793578,2,1,55,0,0,0.8536341161068752
PROP1068,Elegant 5 Bedroom Condo in Tamarin,Tamarin,Black River,West,-20.320922195268743,57.37108313923674,495000,condo,5,3,189,rent,1987.0,False,3.6446957402188014,3,0,80,0,0,13.563176890888148
PROP1069,Spacious 2 Bedroom Apartment in Curepipe,Curepipe,Plaines Wilhems,Central,-20.318747200954416,57.50771348234315,165000,apartment,2,3,80,rent,2015.0,True,14.477229299714905,0,0,55,0,0,1.0261253826147152
PROP1070,327 sqm Land in Quatre Bornes,Quatre Bornes,Plaines Wilhems,Central,-20.268605618918954,57.47406144458012,215000,land,0,0,327,rent,0.0,False,7.693887318838878,4,0,60,0,0,0.7728742280779962
PROP1071,Beautiful 3 Bedroom Villa in Quatre Bornes,Quatre Bornes,Plaines Wilhems,Central,-20.26901643478137,57.47183723528142,670000,villa,3,4,253,sale,1984.0,True,14.566063933439374,2,1,60,0,0,0.9925593881436149
PROP1072,Elegant 4 Bedroom Apartment in Souillac,Souillac,Savanne,South,-20.521280883493567,57.52502034440639,145000,apartment,4,1,118,sale,2000.0,True,6.379403594775136,0,1,40,0,0,22.78315789077297
PROP1073,Spacious 1 Bedroom Apartment in Curepipe,Curepipe,Plaines Wilhems,Central,-20.32091357287924,57.51578271317439,205000,apartment,1,2,109,rent,2024.0,False,10.368929002078623,0,0,55,0,0,0.5310132229045571
PROP1074,Luxurious 2 Bedroom Villa in Belle Mare,Belle Mare,Flacq,East,-20.20449154542911,57.78662395313027,600000,villa,2,3,194,rent,2013.0,False,3.915344927926921,2,0,75,0,1,32.285378588756764
PROP1075,Cozy 2 Bedroom Apartment in Vacoas,Vacoas,Plaines Wilhems,Central,-20.294526541847297,57.47246518361717,195000,apartment,2,1,120,rent,2001.0,True,7.3922173963805,0,0,50,0,0,3.489253109340014
PROP1076,Spacious 1 Bedroom Condo in Flic en Flac,Flic en Flac,Black River,West,-20.27411930234784,57.36554644704938,675000,condo,1,1,198,rent,2004.0,False,3.256708718328379,3,0,85,0,1,12.656384030426048
PROP1077,575 sqm Land in Grand Baie,Grand Baie,Rivière du Rempart,North,-20.01427267961596,57.58554347772542,625000,land,0,0,575,sale,0.0,False,2.4028144091839887,4,1,90,0,1,19.000437103852406
PROP1078,Elegant 2 Bedroom Condo in Trou aux Biches,Trou aux Biches,Pamplemousses,North,-20.02481752625406,57.54494701598776,415000,condo,2,3,126,sale,2004.0,True,2.9502181656182387,3,1,85,0,1,16.051664017826372
PROP1079,Luxurious 5 Bedroom Villa in Belle Mare,Belle Mare,Flacq,East,-20.20177506431316,57.77821537168376,1155000,villa,5,3,368,rent,1982.0,True,1.865544513813239,2,0,75,0,1,31.31835004733629
PROP1080,Spacious 5 Bedroom Condo in Souillac,Souillac,Savanne,South,-20.52373502808055,57.52766541359024,180000,condo,5,3,108,sale,2020.0,False,8.702774317484234,3,1,40,0,0,23.069109266153944
PROP1081,Charming 5 Bedroom House in Mahebourg,Mahebourg,Grand Port,East,-20.406854570761265,57.69706665154542,390000,house,5,3,284,rent,1997.0,True,4.642802027554205,1,0,45,0,0,22.41718129089863
PROP1082,Luxurious 1 Bedroom House in Blue Bay,Blue Bay,Grand Port,East,-20.447021661752117,57.71571303231125,305000,house,1,1,125,rent,2001.0,True,3.9675886751308247,1,0,70,0,1,26.445108060402394
PROP1083,673 sqm Land in Rose Hill,Rose Hill,Plaines Wilhems,Central,-20.2389050800463,57.47294213257398,490000,land,0,0,673,sale,0.0,False,10.427170686953708,4,1,55,0,0,2.8466173897903206
PROP1084,Charming 2 Bedroom Villa in Mahebourg,Mahebourg,Grand Port,East,-20.414039343412608,57.69991685715113,380000,villa,2,1,172,rent,2018.0,False,4.365122414204446,2,0,45,0,0,23.06493656493873
PROP1085,Spacious 4 Bedroom House in Curepipe,Curepipe,Plaines Wilhems,Central,-20.321341421402423,57.51785039398584,355000,house,4,5,255,sale,1996.0,False,11.460143390108923,1,1,55,0,0,0.5873326581376647
PROP1086,Charming 3 Bedroom House in Souillac,Souillac,Savanne,South,-20.530600882858597,57.52711010469466,275000,house,3,3,231,rent,1987.0,True,12.560113995623164,1,0,40,0,0,23.827075207304322
PROP1087,Spacious 4 Bedroom Villa in Trou d'Eau Douce,Trou d'Eau Douce,Flacq,East,-20.217327015797203,57.78680737962984,885000,villa,4,1,235,rent,1985.0,True,1.5146217546124392,2,0,65,0,0,31.937903100201222
PROP1088,Charming 2 Bedroom Villa in Blue Bay,Blue Bay,Grand Port,East,-20.433903870477696,57.71083711941742,650000,villa,2,3,161,rent,2022.0,True,1.489248820140693,2,0,70,0,1,25.21001827803767
PROP1089,Elegant 1 Bedroom Apartment in Rose Hill,Rose Hill,Plaines Wilhems,Central,-20.245645082815397,57.47547790403794,95000,apartment,1,1,54,rent,1992.0,False,11.817764879046823,0,0,55,0,0,2.0549113064411664
PROP1090,Spacious 5 Bedroom House in Blue Bay,Blue Bay,Grand Port,East,-20.439624727182604,57.72070215308271,670000,house,5,3,296,sale,2017.0,False,1.1497383435300643,1,1,70,0,1,26.47561803102572
PROP1091,Cozy 4 Bedroom Villa in Tamarin,Tamarin,Black River,West,-20.33503311804405,57.38081747943305,980000,villa,4,2,266,sale,2000.0,True,4.853696119903336,2,1,80,0,0,13.473411616212715
PROP1092,260 sqm Land in Grand Baie,Grand Baie,Rivière du Rempart,North,-20.02129008231283,57.5819809381041,340000,land,0,0,260,rent,0.0,False,4.85260493708283,4,0,90,0,1,18.128577371742946
PROP1093,Spacious 5 Bedroom House in Tamarin,Tamarin,Black River,West,-20.327952955697075,57.38085403091313,220000,house,5,3,107,rent,2020.0,False,4.633443205184347,1,0,80,0,0,13.02435998286767
PROP1094,Charming 1 Bedroom House in Curepipe,Curepipe,Plaines Wilhems,Central,-20.3155957847412,57.5189679373328,290000,house,1,2,187,rent,1985.0,False,13.213119302869496,1,0,55,0,0,0.27126281858968465
PROP1095,Modern 1 Bedroom House in Beau Bassin,Beau Bassin,Plaines Wilhems,Central,-20.220533595767886,57.46842669636976,370000,house,1,1,242,rent,1983.0,True,14.741337656107712,1,0,55,0,0,4.946543036752492
PROP1096,Beautiful 2 Bedroom Apartment in Vacoas,Vacoas,Plaines Wilhems,Central,-20.299061619221504,57.48745582583223,245000,apartment,2,2,132,sale,1988.0,False,7.679917957484785,0,1,50,0,0,3.75289503521001
PROP1097,Cozy 3 Bedroom Villa in Curepipe,Curepipe,Plaines Wilhems,Central,-20.319947268553268,57.52379816222286,1185000,villa,3,3,392,rent,2020.0,True,9.001185662673283,2,0,55,0,0,0.9007809761777607
PROP1098,Modern 3 Bedroom House in Tamarin,Tamarin,Black River,West,-20.32442083386192,57.37520668161133,305000,house,3,1,126,sale,2003.0,True,3.8621084414805,1,1,80,0,0,13.351739221069824
PROP1099,Elegant 2 Bedroom Apartment in Curepipe,Curepipe,Plaines Wilhems,Central,-20.31113917452552,57.5112978539713,125000,apartment,2,1,67,rent,1998.0,True,9.204079698064849,0,0,55,0,0,0.8135982515086823
PROP1100,Modern 4 Bedroom House in Mahebourg,Mahebourg,Grand Port,East,-20.416107383570417,57.701220999881706,310000,house,4,5,228,rent,1995.0,True,1.5433468419105822,1,0,45,0,0,23.301118014248555
PROP1101,Cozy 4 Bedroom House in Curepipe,Curepipe,Plaines Wilhems,Central,-20.311456814661067,57.52347673075676,315000,house,4,1,208,sale,1983.0,False,5.9920711869527885,1,1,55,0,0,0.9272801618380343
PROP1102,Spacious 4 Bedroom Villa in Trou d'Eau Douce,Trou d'Eau Douce,Flacq,East,-20.228436242653896,57.789260124525576,865000,villa,4,2,254,sale,2015.0,False,2.738470571599119,2,1,65,0,0,31.794480966568234
PROP1103,Modern 2 Bedroom Apartment in Vacoas,Vacoas,Plaines Wilhems,Central,-20.302453938058434,57.48215390323289,100000,apartment,2,1,53,sale,2002.0,False,10.409720810933976,0,1,50,0,0,4.11672019949468
PROP1104,Charming 4 Bedroom Villa in Curepipe,Curepipe,Plaines Wilhems,Central,-20.31922189114308,57.52322756093766,480000,villa,4,5,206,sale,2014.0,True,7.340156594808943,2,1,55,0,0,0.8085219737073266
PROP1105,Charming 4 Bedroom House in Tamarin,Tamarin,Black River,West,-20.320940273131995,57.36822893503549,765000,house,4,4,287,rent,1982.0,True,3.5720807408009323,1,0,80,0,0,13.844954783552787
PROP1106,458 sqm Land in Curepipe,Curepipe,Plaines Wilhems,Central,-20.3244808283474,57.51968647261816,375000,land,0,0,458,rent,0.0,False,8.333567463370038,4,0,55,0,0,0.9809438172304215
PROP1107,Beautiful 2 Bedroom Condo in Souillac,Souillac,Savanne,South,-20.527577094724283,57.51384889141416,255000,condo,2,3,168,rent,2000.0,True,9.653816883158376,3,0,40,0,0,23.46484467117442
PROP1108,Beautiful 2 Bedroom Condo in Grand Baie,Grand Baie,Rivière du Rempart,North,-20.02192892631926,57.57785152693551,500000,condo,2,1,145,rent,2014.0,True,1.6338307304834618,3,0,90,0,1,17.83796077307672
PROP1109,Modern 5 Bedroom Condo in Quatre Bornes,Quatre Bornes,Plaines Wilhems,Central,-20.254340430623596,57.48596776085246,250000,condo,5,4,129,sale,2013.0,True,10.06949699751517,3,1,60,0,0,1.2975591015313344
PROP1110,Cozy 3 Bedroom Condo in Port Louis,Port Louis,Port Louis,North,-20.169302288058383,57.49408493164965,425000,condo,3,4,173,rent,1993.0,True,4.410539201901399,3,0,65,0,0,0.9801919199396202
PROP1111,Charming 5 Bedroom Apartment in Tamarin,Tamarin,Black River,West,-20.317046062561733,57.363578164127375,260000,apartment,5,6,101,sale,1998.0,True,4.611050451039921,0,1,80,0,0,14.119460804705401
PROP1112,Modern 1 Bedroom Condo in Belle Mare,Belle Mare,Flacq,East,-20.187957925656196,57.77188569299364,370000,condo,1,1,144,rent,1994.0,True,3.722044336221373,3,0,75,0,1,30.439147726747244
PROP1113,Luxurious 3 Bedroom Condo in Mahebourg,Mahebourg,Grand Port,East,-20.40730148129579,57.69890251486652,290000,condo,3,3,174,rent,1990.0,True,3.882871657942281,3,0,45,0,0,22.621594888974307
PROP1114,Spacious 1 Bedroom Apartment in Blue Bay,Blue Bay,Grand Port,East,-20.44129571608511,57.722329773751575,275000,apartment,1,1,105,rent,2009.0,False,2.11688194463434,0,0,70,0,1,26.726273337741922
PROP1115,Cozy 1 Bedroom Villa in Flic en Flac,Flic en Flac,Black River,West,-20.27776588785819,57.36922306538304,765000,villa,1,1,195,sale,2003.0,False,3.967570200985832,2,1,85,0,1,12.294464818432582
PROP1116,Spacious 2 Bedroom Condo in Port Louis,Port Louis,Port Louis,North,-20.166020140117126,57.49412144600648,315000,condo,2,3,121,sale,1982.0,False,4.59524000889895,3,1,65,0,0,0.7003575136248165
PROP1117,Cozy 1 Bedroom Villa in Flic en Flac,Flic en Flac,Black River,West,-20.278544695110856,57.362095275286734,1370000,villa,1,2,321,rent,1998.0,False,4.368825756509093,2,0,85,0,1,13.090242583918851
PROP1118,Beautiful 1 Bedroom Villa in Belle Mare,Belle Mare,Flacq,East,-20.20661589603215,57.77314738386067,960000,villa,1,2,248,sale,2016.0,False,1.1432505724882145,2,1,75,0,1,30.843450561495587
PROP1119,Luxurious 3 Bedroom Apartment in Curepipe,Curepipe,Plaines Wilhems,Central,-20.309063936483955,57.50786671297627,175000,apartment,3,3,99,sale,2014.0,True,12.382771573462442,0,1,55,0,0,1.251860070514102
PROP1120,Luxurious 3 Bedroom Villa in Trou d'Eau Douce,Trou d'Eau Douce,Flacq,East,-20.235080164973187,57.78553615529317,635000,villa,3,2,179,rent,1991.0,False,3.4064613493342963,2,0,65,0,0,31.180349145412947
PROP1121,Luxurious 1 Bedroom House in Curepipe,Curepipe,Plaines Wilhems,Central,-20.32613410842876,57.50703360636937,260000,house,1,1,160,sale,1989.0,False,7.154194569574078,1,1,55,0,0,1.5308441259652354
PROP1122,Luxurious 5 Bedroom Villa in Rose Hill,Rose Hill,Plaines Wilhems,Central,-20.24451617868568,57.47259901337081,395000,villa,5,2,169,rent,2001.0,False,7.178880053087605,2,0,55,0,0,2.258866613490529
PROP1123,Spacious 1 Bedroom Villa in Vacoas,Vacoas,Plaines Wilhems,Central,-20.30373596041669,57.48007950231784,405000,villa,1,2,162,rent,2013.0,False,7.603494303999591,2,0,50,0,0,4.283361903231067
PROP1124,860 sqm Land in Port Louis,Port Louis,Port Louis,North,-20.167586646217305,57.49774561719448,665000,land,0,0,860,rent,0.0,False,2.2919028803999515,4,0,65,0,0,0.6440922164182393
